Date;AMZN;NFLX;PFE;AAPL;NKE
03/06/2016;725.539978;99.589996;27.512915;22.907692;50.797779
06/06/2016;726.729980;100.739998;27.703262;23.073790;51.605591
07/06/2016;723.739990;99.889999;27.631874;23.167370;50.892807
08/06/2016;726.640015;97.860001;27.957056;23.146317;51.434521
09/06/2016;727.650024;97.089996;28.004644;23.312412;52.213837
10/06/2016;717.909973;93.750000;27.988775;23.120579;52.375397
13/06/2016;715.239990;93.849998;27.552568;22.772001;52.185326
14/06/2016;719.299988;94.120003;27.750845;22.800076;51.434521
15/06/2016;714.260010;94.290001;27.592220;22.725216;51.615097
16/06/2016;717.510010;95.440002;27.560499;22.821135;50.816776
17/06/2016;706.390015;94.449997;27.140154;22.301785;51.044872
20/06/2016;714.010010;93.800003;27.362219;22.247978;51.662617
21/06/2016;715.820007;90.989998;27.560499;22.437468;52.052265
22/06/2016;710.599976;90.010002;27.338427;22.353247;51.862198
23/06/2016;722.080017;91.660004;27.433599;22.481915;51.434521
24/06/2016;698.960022;88.440002;26.941877;21.850271;49.980446
27/06/2016;691.359985;85.330002;26.807047;21.532110;49.315182
28/06/2016;707.950012;87.970001;27.314634;21.894722;50.455635
29/06/2016;715.599976;91.059998;27.766705;22.084213;52.394402
30/06/2016;715.619995;91.480003;27.925329;22.364946;52.460938
01/07/2016;725.679993;96.669998;28.210852;22.432791;52.850578
05/07/2016;728.099976;97.910004;28.401196;22.222239;52.460938
06/07/2016;737.609985;94.599998;28.440847;22.348570;53.031158
07/07/2016;736.570007;95.099998;28.369469;22.444483;53.145210
08/07/2016;745.809998;97.059998;28.647053;22.617603;53.905518
11/07/2016;753.780029;94.669998;28.670853;22.687780;54.010052
12/07/2016;748.210022;95.970001;28.742229;22.790722;55.179020
13/07/2016;742.630005;96.430000;28.797749;22.662050;55.112492
14/07/2016;741.200012;98.019997;29.281542;23.111225;55.587685
15/07/2016;735.440002;98.389999;29.162577;23.108885;54.998444
18/07/2016;736.070007;98.809998;29.059479;23.354523;54.874901
19/07/2016;739.950012;85.839996;29.059479;23.363882;54.893906
20/07/2016;745.719971;87.910004;29.091196;23.384943;54.893906
21/07/2016;744.429993;85.989998;29.114996;23.260948;54.162121
22/07/2016;744.859985;85.889999;29.138783;23.080814;53.915012
25/07/2016;739.609985;87.660004;29.170504;22.772001;54.304676
26/07/2016;735.590027;91.410004;29.210159;22.615261;53.572872
27/07/2016;736.669983;92.040001;29.226025;24.084423;53.021660
28/07/2016;752.609985;91.650002;29.083269;24.409603;52.698528
